date,outlet_id,product_id,units_sold,units_returned,revenue,closing_stock
2025-07-01,outlet-1,prod-1,42,2,62.58,43
2025-07-01,outlet-1,prod-2,34,1,43.86,94
2025-07-01,outlet-1,prod-3,27,1,94.23,37
2025-07-01,outlet-1,prod-4,39,1,77.61,28
2025-07-01,outlet-1,prod-5,13,0,42.77,56
2025-07-01,outlet-1,prod-6,12,0,83.88,202
2025-07-01,outlet-1,prod-7,24,1,191.76,27
2025-07-01,outlet-1,prod-8,61,1,60.39,24
2025-07-01,outlet-1,prod-9,13,0,32.370000000000005,0
2025-07-01,outlet-1,prod-10,11,0,43.89,14
2025-07-01,outlet-1,prod-11,14,0,25.060000000000002,239
2025-07-01,outlet-1,prod-12,8,0,23.92,0
2025-07-01,outlet-1,prod-13,19,0,32.11,380
2025-07-01,outlet-1,prod-14,10,0,22.9,17
2025-07-01,outlet-1,prod-15,8,0,23.92,117
2025-07-01,outlet-1,prod-16,13,0,16.77,61
2025-07-01,outlet-1,prod-17,7,0,24.43,48
2025-07-01,outlet-1,prod-18,11,1,16.39,111
2025-07-01,outlet-1,prod-19,10,0,29.900000000000002,18
2025-07-01,outlet-1,prod-20,8,0,15.92,57
2025-07-01,outlet-1,prod-21,25,2,57.25,38
2025-07-01,outlet-1,prod-22,3,0,10.47,0
2025-07-01,outlet-1,prod-23,6,0,14.940000000000001,3
2025-07-01,outlet-1,prod-24,12,1,47.88,28
2025-07-01,outlet-1,prod-25,22,0,39.38,51
2025-07-01,outlet-1,prod-26,4,0,17.96,0
2025-07-01,outlet-1,prod-27,11,0,14.190000000000001,0
2025-07-01,outlet-1,prod-28,8,0,39.92,21
2025-07-01,outlet-1,prod-29,10,0,39.900000000000006,138
2025-07-01,outlet-1,prod-30,8,0,19.92,43
2025-07-01,outlet-1,prod-31,13,0,16.77,106
2025-07-01,outlet-1,prod-32,11,0,27.39,2
2025-07-01,outlet-1,prod-33,4,0,13.96,66
2025-07-01,outlet-1,prod-34,14,0,20.86,26
2025-07-01,outlet-1,prod-35,3,0,20.97,87
2025-07-01,outlet-1,prod-36,8,0,63.92,25
2025-07-01,outlet-1,prod-37,11,0,10.89,33
2025-07-01,outlet-1,prod-38,4,0,51.96,25
2025-07-01,outlet-1,prod-39,6,0,32.94,10
2025-07-01,outlet-1,prod-40,6,0,17.94,0
2025-07-01,outlet-2,prod-1,41,2,61.089999999999996,34
2025-07-01,outlet-2,prod-2,12,0,15.48,0
2025-07-01,outlet-2,prod-3,12,0,41.88,357
2025-07-01,outlet-2,prod-4,19,0,37.81,0
2025-07-01,outlet-2,prod-5,10,0,32.9,23
2025-07-01,outlet-2,prod-6,9,0,62.910000000000004,78
2025-07-01,outlet-2,prod-7,22,1,175.78,57
2025-07-01,outlet-2,prod-8,32,1,31.68,114
2025-07-01,outlet-2,prod-9,14,0,34.86,79
2025-07-01,outlet-2,prod-10,10,0,39.900000000000006,17
2025-07-01,outlet-2,prod-11,7,0,12.530000000000001,0
2025-07-01,outlet-2,prod-12,8,0,23.92,44
2025-07-01,outlet-2,prod-13,16,0,27.04,305
2025-07-01,outlet-2,prod-14,11,0,25.19,10
2025-07-01,outlet-2,prod-15,17,1,50.830000000000005,22
2025-07-01,outlet-2,prod-16,14,1,18.060000000000002,44
2025-07-01,outlet-2,prod-17,9,1,31.410000000000004,38
2025-07-01,outlet-2,prod-18,14,1,20.86,63
2025-07-01,outlet-2,prod-19,12,0,35.88,27
2025-07-01,outlet-2,prod-20,28,1,55.72,30
2025-07-01,outlet-2,prod-21,14,1,32.06,35
2025-07-01,outlet-2,prod-22,4,0,13.96,20
2025-07-01,outlet-2,prod-23,6,0,14.940000000000001,24
2025-07-01,outlet-2,prod-24,21,1,83.79,15
2025-07-01,outlet-2,prod-25,27,1,48.33,351
2025-07-01,outlet-2,prod-26,3,0,13.47,0
2025-07-01,outlet-2,prod-27,18,0,23.22,33
2025-07-01,outlet-2,prod-28,6,0,29.94,6
2025-07-01,outlet-2,prod-29,9,0,35.910000000000004,30
2025-07-01,outlet-2,prod-30,8,0,19.92,3
2025-07-01,outlet-2,prod-31,25,1,32.25,136
2025-07-01,outlet-2,prod-32,16,1,39.84,20
2025-07-01,outlet-2,prod-33,7,0,24.43,0
2025-07-01,outlet-2,prod-34,8,0,11.92,12
2025-07-01,outlet-2,prod-35,1,0,6.99,9
2025-07-01,outlet-2,prod-36,7,0,55.93,0
2025-07-01,outlet-2,prod-37,13,0,12.87,160
2025-07-01,outlet-2,prod-38,4,0,51.96,4
2025-07-01,outlet-2,prod-39,5,0,27.450000000000003,100
2025-07-01,outlet-2,prod-40,6,0,17.94,20
2025-07-01,outlet-3,prod-1,8,0,11.92,0
2025-07-01,outlet-3,prod-2,14,0,18.060000000000002,33
2025-07-01,outlet-3,prod-3,7,0,24.43,25
2025-07-01,outlet-3,prod-4,41,1,81.59,121
2025-07-01,outlet-3,prod-5,7,0,23.03,6
2025-07-01,outlet-3,prod-6,4,0,27.96,13
2025-07-01,outlet-3,prod-7,9,0,71.91,36
2025-07-01,outlet-3,prod-8,72,2,71.28,159
2025-07-01,outlet-3,prod-9,13,0,32.370000000000005,86
2025-07-01,outlet-3,prod-10,5,0,19.950000000000003,59
