item_no,item_name,branch,quantity,date
CAKE-001,Chocolate Fudge Cake,BR-A,218,2026-07-31
CAKE-001,Chocolate Fudge Cake,BR-B,160,2026-07-31
CAKE-001,Chocolate Fudge Cake,BR-C,115,2026-07-31
CAKE-001,Chocolate Fudge Cake,BR-D,84,2026-07-31
CAKE-001,Chocolate Fudge Cake,BR-E,82,2026-07-31
CAKE-002,Vanilla Sponge Cake,BR-A,129,2026-07-31
CAKE-002,Vanilla Sponge Cake,BR-B,94,2026-07-31
CAKE-002,Vanilla Sponge Cake,BR-C,68,2026-07-31
CAKE-002,Vanilla Sponge Cake,BR-D,50,2026-07-31
CAKE-002,Vanilla Sponge Cake,BR-E,49,2026-07-31
CAKE-003,Red Velvet Cake,BR-A,61,2026-07-31
CAKE-003,Red Velvet Cake,BR-B,45,2026-07-31
CAKE-003,Red Velvet Cake,BR-C,32,2026-07-31
CAKE-003,Red Velvet Cake,BR-D,24,2026-07-31
CAKE-003,Red Velvet Cake,BR-E,23,2026-07-31
CAKE-004,Lemon Drizzle Cake,BR-A,40,2026-07-31
CAKE-004,Lemon Drizzle Cake,BR-B,29,2026-07-31
CAKE-004,Lemon Drizzle Cake,BR-C,21,2026-07-31
CAKE-004,Lemon Drizzle Cake,BR-D,16,2026-07-31
CAKE-004,Lemon Drizzle Cake,BR-E,15,2026-07-31
CAKE-005,Carrot Cake,BR-A,68,2026-07-31
CAKE-005,Carrot Cake,BR-B,50,2026-07-31
CAKE-005,Carrot Cake,BR-C,36,2026-07-31
CAKE-005,Carrot Cake,BR-D,26,2026-07-31
CAKE-005,Carrot Cake,BR-E,26,2026-07-31
CAKE-006,Black Forest Cake,BR-A,141,2026-07-31
CAKE-006,Black Forest Cake,BR-B,103,2026-07-31
CAKE-006,Black Forest Cake,BR-C,74,2026-07-31
CAKE-006,Black Forest Cake,BR-D,55,2026-07-31
CAKE-006,Black Forest Cake,BR-E,53,2026-07-31
CAKE-007,Strawberry Shortcake,BR-A,146,2026-07-31
CAKE-007,Strawberry Shortcake,BR-B,107,2026-07-31
CAKE-007,Strawberry Shortcake,BR-C,77,2026-07-31
CAKE-007,Strawberry Shortcake,BR-D,57,2026-07-31
CAKE-007,Strawberry Shortcake,BR-E,55,2026-07-31
CAKE-008,Whole-Wheat Cake,BR-A,35,2026-07-31
CAKE-008,Whole-Wheat Cake,BR-B,26,2026-07-31
CAKE-008,Whole-Wheat Cake,BR-C,18,2026-07-31
CAKE-008,Whole-Wheat Cake,BR-D,13,2026-07-31
CAKE-008,Whole-Wheat Cake,BR-E,13,2026-07-31
CAKE-009,Pineapple Upside-Down Cake,BR-A,73,2026-07-31
CAKE-009,Pineapple Upside-Down Cake,BR-B,53,2026-07-31
CAKE-009,Pineapple Upside-Down Cake,BR-C,39,2026-07-31
CAKE-009,Pineapple Upside-Down Cake,BR-D,28,2026-07-31
CAKE-009,Pineapple Upside-Down Cake,BR-E,27,2026-07-31
CAKE-010,Butter Cake,BR-A,123,2026-07-31
CAKE-010,Butter Cake,BR-B,90,2026-07-31
CAKE-010,Butter Cake,BR-C,65,2026-07-31
CAKE-010,Butter Cake,BR-D,48,2026-07-31
CAKE-010,Butter Cake,BR-E,47,2026-07-31
