branch_code,item_code,item_name,quantity,date
BR-A,CAKE-001,Chocolate Fudge Cake,120,2026-03-31
BR-A,CAKE-002,Vanilla Sponge Cake,78,2026-03-31
BR-A,CAKE-003,Red Velvet Cake,32,2026-03-31
BR-A,CAKE-004,Lemon Drizzle Cake,29,2026-03-31
BR-A,CAKE-005,Carrot Cake,39,2026-03-31
BR-A,CAKE-006,Black Forest Cake,74,2026-03-31
BR-A,CAKE-007,Strawberry Shortcake,68,2026-03-31
BR-A,CAKE-008,Whole-Wheat Cake,22,2026-03-31
BR-A,CAKE-009,Pineapple Upside-Down Cake,41,2026-03-31
BR-A,CAKE-010,Butter Cake,73,2026-03-31
BR-B,CAKE-001,Chocolate Fudge Cake,136,2026-03-31
BR-B,CAKE-002,Vanilla Sponge Cake,88,2026-03-31
BR-B,CAKE-003,Red Velvet Cake,37,2026-03-31
BR-B,CAKE-004,Lemon Drizzle Cake,33,2026-03-31
BR-B,CAKE-005,Carrot Cake,44,2026-03-31
BR-B,CAKE-006,Black Forest Cake,84,2026-03-31
BR-B,CAKE-007,Strawberry Shortcake,78,2026-03-31
BR-B,CAKE-008,Whole-Wheat Cake,25,2026-03-31
BR-B,CAKE-009,Pineapple Upside-Down Cake,47,2026-03-31
BR-B,CAKE-010,Butter Cake,83,2026-03-31
BR-C,CAKE-001,Chocolate Fudge Cake,109,2026-03-31
BR-C,CAKE-002,Vanilla Sponge Cake,71,2026-03-31
BR-C,CAKE-003,Red Velvet Cake,29,2026-03-31
BR-C,CAKE-004,Lemon Drizzle Cake,27,2026-03-31
BR-C,CAKE-005,Carrot Cake,35,2026-03-31
BR-C,CAKE-006,Black Forest Cake,67,2026-03-31
BR-C,CAKE-007,Strawberry Shortcake,62,2026-03-31
BR-C,CAKE-008,Whole-Wheat Cake,20,2026-03-31
BR-C,CAKE-009,Pineapple Upside-Down Cake,37,2026-03-31
BR-C,CAKE-010,Butter Cake,67,2026-03-31
BR-D,CAKE-001,Chocolate Fudge Cake,68,2026-03-31
BR-D,CAKE-002,Vanilla Sponge Cake,44,2026-03-31
BR-D,CAKE-003,Red Velvet Cake,18,2026-03-31
BR-D,CAKE-004,Lemon Drizzle Cake,17,2026-03-31
BR-D,CAKE-005,Carrot Cake,22,2026-03-31
BR-D,CAKE-006,Black Forest Cake,42,2026-03-31
BR-D,CAKE-007,Strawberry Shortcake,39,2026-03-31
BR-D,CAKE-008,Whole-Wheat Cake,12,2026-03-31
BR-D,CAKE-009,Pineapple Upside-Down Cake,23,2026-03-31
BR-D,CAKE-010,Butter Cake,42,2026-03-31
BR-E,CAKE-001,Chocolate Fudge Cake,55,2026-03-31
BR-E,CAKE-002,Vanilla Sponge Cake,36,2026-03-31
BR-E,CAKE-003,Red Velvet Cake,15,2026-03-31
BR-E,CAKE-004,Lemon Drizzle Cake,14,2026-03-31
BR-E,CAKE-005,Carrot Cake,18,2026-03-31
BR-E,CAKE-006,Black Forest Cake,34,2026-03-31
BR-E,CAKE-007,Strawberry Shortcake,32,2026-03-31
BR-E,CAKE-008,Whole-Wheat Cake,10,2026-03-31
BR-E,CAKE-009,Pineapple Upside-Down Cake,19,2026-03-31
BR-E,CAKE-010,Butter Cake,34,2026-03-31
BR-A,CAKE-001,Chocolate Fudge Cake,153,2026-04-30
BR-A,CAKE-002,Vanilla Sponge Cake,95,2026-04-30
BR-A,CAKE-003,Red Velvet Cake,39,2026-04-30
BR-A,CAKE-004,Lemon Drizzle Cake,34,2026-04-30
BR-A,CAKE-005,Carrot Cake,48,2026-04-30
BR-A,CAKE-006,Black Forest Cake,93,2026-04-30
BR-A,CAKE-007,Strawberry Shortcake,92,2026-04-30
BR-A,CAKE-008,Whole-Wheat Cake,27,2026-04-30
BR-A,CAKE-009,Pineapple Upside-Down Cake,51,2026-04-30
BR-A,CAKE-010,Butter Cake,90,2026-04-30
BR-B,CAKE-001,Chocolate Fudge Cake,148,2026-04-30
BR-B,CAKE-002,Vanilla Sponge Cake,92,2026-04-30
BR-B,CAKE-003,Red Velvet Cake,37,2026-04-30
BR-B,CAKE-004,Lemon Drizzle Cake,33,2026-04-30
BR-B,CAKE-005,Carrot Cake,46,2026-04-30
BR-B,CAKE-006,Black Forest Cake,89,2026-04-30
BR-B,CAKE-007,Strawberry Shortcake,89,2026-04-30
BR-B,CAKE-008,Whole-Wheat Cake,26,2026-04-30
BR-B,CAKE-009,Pineapple Upside-Down Cake,49,2026-04-30
BR-B,CAKE-010,Butter Cake,87,2026-04-30
BR-C,CAKE-001,Chocolate Fudge Cake,116,2026-04-30
BR-C,CAKE-002,Vanilla Sponge Cake,72,2026-04-30
BR-C,CAKE-003,Red Velvet Cake,29,2026-04-30
BR-C,CAKE-004,Lemon Drizzle Cake,26,2026-04-30
BR-C,CAKE-005,Carrot Cake,36,2026-04-30
BR-C,CAKE-006,Black Forest Cake,70,2026-04-30
BR-C,CAKE-007,Strawberry Shortcake,70,2026-04-30
BR-C,CAKE-008,Whole-Wheat Cake,20,2026-04-30
BR-C,CAKE-009,Pineapple Upside-Down Cake,39,2026-04-30
BR-C,CAKE-010,Butter Cake,68,2026-04-30
BR-D,CAKE-001,Chocolate Fudge Cake,0,2026-04-30
BR-D,CAKE-002,Vanilla Sponge Cake,16,2026-04-30
BR-D,CAKE-003,Red Velvet Cake,0,2026-04-30
BR-D,CAKE-004,Lemon Drizzle Cake,6,2026-04-30
BR-D,CAKE-005,Carrot Cake,8,2026-04-30
BR-D,CAKE-006,Black Forest Cake,0,2026-04-30
BR-D,CAKE-007,Strawberry Shortcake,16,2026-04-30
