item_no,item_name,branch,quantity,date
SKU-00717,Item-00717,BR-C,60.53,2026-05-30
SKU-00731,Item-00731,BR-A,43.72,2026-05-19
SKU-00893,Item-00893,BR-A,58.55,2026-05-08
SKU-00740,Item-00740,BR-B,131.86,2026-05-01
SKU-00472,Item-00472,BR-E,230.72,2026-05-01
SKU-00375,Item-00375,BR-B,80.87,2026-05-24
SKU-00344,Item-00344,BR-E,95.61,2026-05-18
SKU-00733,Item-00733,BR-D,116.23,2026-05-14
SKU-00684,Item-00684,BR-B,69.82,2026-05-15
SKU-00326,Item-00326,BR-B,147.91,2026-05-30
SKU-00478,Item-00478,BR-D,231.97,2026-05-03
SKU-00605,Item-00605,BR-B,139.53,2026-05-15
SKU-00627,Item-00627,BR-A,145.33,2026-05-18
SKU-00497,Item-00497,BR-B,100.99,2026-05-28
SKU-00338,Item-00338,BR-A,191.71,2026-05-27
SKU-00802,Item-00802,BR-A,10.46,2026-05-21
SKU-00853,Item-00853,BR-E,297.17,2026-05-06
SKU-00800,Item-00800,BR-A,216.02,2026-05-06
SKU-00604,Item-00604,BR-E,15.54,2026-05-02
SKU-00614,Item-00614,BR-B,78.52,2026-05-15
SKU-00705,Item-00705,BR-D,181.74,2026-05-08
SKU-00884,Item-00884,BR-C,49.43,2026-05-05
SKU-00809,Item-00809,BR-C,275.8,2026-05-09
SKU-00834,Item-00834,BR-B,10.49,2026-05-10
SKU-00763,Item-00763,BR-E,9.01,2026-05-22
SKU-00354,Item-00354,BR-A,114.26,2026-05-21
SKU-00685,Item-00685,BR-D,42.11,2026-05-27
SKU-00693,Item-00693,BR-B,59.19,2026-05-30
SKU-00374,Item-00374,BR-E,28.82,2026-05-15
SKU-00332,Item-00332,BR-E,95.27,2026-05-11
SKU-00355,Item-00355,BR-E,167.78,2026-05-02
SKU-00509,Item-00509,BR-D,146.97,2026-05-06
SKU-00595,Item-00595,BR-B,142.38,2026-05-19
SKU-00582,Item-00582,BR-C,62.45,2026-05-18
SKU-00566,Item-00566,BR-C,133.47,2026-05-21
SKU-00776,Item-00776,BR-B,91.45,2026-05-15
SKU-00655,Item-00655,BR-B,100.89,2026-05-18
SKU-00759,Item-00759,BR-E,28.01,2026-05-02
SKU-00392,Item-00392,BR-C,219.89,2026-05-29
SKU-00472,Item-00472,BR-B,271.49,2026-05-27
SKU-00485,Item-00485,BR-C,252.71,2026-05-22
SKU-00691,Item-00691,BR-E,205.37,2026-05-01
SKU-00689,Item-00689,BR-D,93.35,2026-05-03
SKU-00712,Item-00712,BR-C,101.59,2026-05-13
SKU-00663,Item-00663,BR-A,113.53,2026-05-01
SKU-00544,Item-00544,BR-C,6.99,2026-05-26
SKU-00857,Item-00857,BR-A,204.55,2026-05-25
SKU-00353,Item-00353,BR-D,36.11,2026-05-14
SKU-00796,Item-00796,BR-D,138.23,2026-05-04
SKU-00493,Item-00493,BR-D,118.18,2026-05-09
SKU-00519,Item-00519,BR-E,82.2,2026-05-24
SKU-00736,Item-00736,BR-B,15.59,2026-05-08
SKU-00806,Item-00806,BR-E,216.17,2026-05-08
SKU-00733,Item-00733,BR-E,141.85,2026-05-20
SKU-00812,Item-00812,BR-E,78.83,2026-05-03
SKU-00891,Item-00891,BR-A,123.49,2026-05-01
SKU-00413,Item-00413,BR-D,82.02,2026-05-02
SKU-00332,Item-00332,BR-C,130.7,2026-05-11
SKU-00504,Item-00504,BR-C,61.12,2026-05-01
SKU-00513,Item-00513,BR-C,293.11,2026-05-16
SKU-00361,Item-00361,BR-B,70.24,2026-05-12
SKU-00636,Item-00636,BR-C,9.66,2026-05-24
SKU-00857,Item-00857,BR-D,218.71,2026-05-30
SKU-00359,Item-00359,BR-C,140.33,2026-05-25
SKU-00570,Item-00570,BR-B,32.49,2026-05-22
SKU-00572,Item-00572,BR-B,21.09,2026-05-06
SKU-00516,Item-00516,BR-B,154.4,2026-05-06
SKU-00610,Item-00610,BR-B,145.69,2026-05-17
SKU-00508,Item-00508,BR-B,32.95,2026-05-21
SKU-00375,Item-00375,BR-B,74.51,2026-05-29
SKU-00733,Item-00733,BR-E,99.87,2026-05-21
SKU-00796,Item-00796,BR-C,198.89,2026-05-28
SKU-00536,Item-00536,BR-A,271.66,2026-05-04
SKU-00424,Item-00424,BR-A,236.54,2026-05-21
SKU-00870,Item-00870,BR-A,222.15,2026-05-16
SKU-00730,Item-00730,BR-D,171.94,2026-05-07
SKU-00503,Item-00503,BR-C,89.94,2026-05-08
SKU-00660,Item-00660,BR-D,159.79,2026-05-02
SKU-00372,Item-00372,BR-A,185.56,2026-05-02
SKU-00504,Item-00504,BR-B,57.82,2026-05-03
SKU-00510,Item-00510,BR-D,135.43,2026-05-11
SKU-00325,Item-00325,BR-D,54.66,2026-05-08
SKU-00684,Item-00684,BR-A,126.54,2026-05-04
SKU-00705,Item-00705,BR-B,161.6,2026-05-25
SKU-00791,Item-00791,BR-E,291.68,2026-05-28
SKU-00663,Item-00663,BR-D,93.67,2026-05-26
SKU-00473,Item-00473,BR-C,13.53,2026-05-08
SKU-00574,Item-00574,BR-B,22.91,2026-05-01
SKU-00473,Item-00473,BR-D,12.37,2026-05-05
SKU-00712,Item-00712,BR-E,122.91,2026-05-15
SKU-00439,Item-00439,BR-E,69.47,2026-05-20
SKU-00610,Item-00610,BR-A,141.15,2026-05-11
SKU-00384,Item-00384,BR-A,28.84,2026-05-08
SKU-00571,Item-00571,BR-A,274.68,2026-05-14
SKU-00661,Item-00661,BR-D,214.09,2026-05-19
SKU-00667,Item-00667,BR-D,20.49,2026-05-20
SKU-00837,Item-00837,BR-A,150.47,2026-05-07
SKU-00339,Item-00339,BR-B,35.51,2026-05-26
SKU-00875,Item-00875,BR-C,100.71,2026-05-04
SKU-00518,Item-00518,BR-E,40.92,2026-05-05
SKU-00396,Item-00396,BR-B,131.05,2026-05-02
SKU-00363,Item-00363,BR-A,124.68,2026-05-20
SKU-00639,Item-00639,BR-D,2.28,2026-05-05
SKU-00504,Item-00504,BR-A,75.77,2026-05-16
SKU-00488,Item-00488,BR-A,185.19,2026-05-12
SKU-00457,Item-00457,BR-A,81.77,2026-05-11
SKU-00666,Item-00666,BR-D,76.87,2026-05-14
SKU-00308,Item-00308,BR-D,55.97,2026-05-21
SKU-00420,Item-00420,BR-C,19.61,2026-05-10
SKU-00537,Item-00537,BR-D,118.07,2026-05-08
SKU-00661,Item-00661,BR-E,221.45,2026-05-14
SKU-00542,Item-00542,BR-A,158.22,2026-05-16
SKU-00692,Item-00692,BR-B,53.17,2026-05-11
SKU-00441,Item-00441,BR-D,167.54,2026-05-29
SKU-00696,Item-00696,BR-D,74.62,2026-05-18
SKU-00391,Item-00391,BR-B,114.77,2026-05-05
SKU-00309,Item-00309,BR-B,68.36,2026-05-13
SKU-00618,Item-00618,BR-A,197.56,2026-05-27
SKU-00605,Item-00605,BR-A,110.18,2026-05-18
SKU-00783,Item-00783,BR-E,195.06,2026-05-12
SKU-00547,Item-00547,BR-B,145.01,2026-05-17
SKU-00562,Item-00562,BR-B,153.7,2026-05-26
SKU-00850,Item-00850,BR-E,73.15,2026-05-17
SKU-00676,Item-00676,BR-D,26.27,2026-05-06
SKU-00859,Item-00859,BR-C,28.43,2026-05-02
SKU-00351,Item-00351,BR-C,110.3,2026-05-30
SKU-00868,Item-00868,BR-C,271.98,2026-05-12
SKU-00661,Item-00661,BR-E,166.91,2026-05-30
SKU-00789,Item-00789,BR-A,124.47,2026-05-30
SKU-00424,Item-00424,BR-E,153.28,2026-05-12
SKU-00342,Item-00342,BR-E,212.98,2026-05-17
SKU-00587,Item-00587,BR-B,238.88,2026-05-12
SKU-00572,Item-00572,BR-A,23.09,2026-05-14
SKU-00890,Item-00890,BR-E,220.82,2026-05-18
SKU-00372,Item-00372,BR-B,108.03,2026-05-22
SKU-00694,Item-00694,BR-B,155.84,2026-05-14
SKU-00489,Item-00489,BR-D,113.29,2026-05-12
SKU-00803,Item-00803,BR-D,11.77,2026-05-08
SKU-00647,Item-00647,BR-C,339.38,2026-05-05
SKU-00773,Item-00773,BR-C,271.47,2026-05-15
SKU-00491,Item-00491,BR-D,133.67,2026-05-20
SKU-00572,Item-00572,BR-C,21.32,2026-05-11
SKU-00532,Item-00532,BR-D,160.53,2026-05-10
SKU-00598,Item-00598,BR-D,11.6,2026-05-24
SKU-00802,Item-00802,BR-C,14.61,2026-05-22
SKU-00461,Item-00461,BR-D,131.38,2026-05-15
SKU-00356,Item-00356,BR-A,88.12,2026-05-25
SKU-00367,Item-00367,BR-A,51.17,2026-05-17
SKU-00355,Item-00355,BR-B,172.46,2026-05-12
SKU-00821,Item-00821,BR-D,160.93,2026-05-29
SKU-00823,Item-00823,BR-A,108.07,2026-05-30
SKU-00402,Item-00402,BR-C,97.63,2026-05-20
SKU-00619,Item-00619,BR-D,27.37,2026-05-09
SKU-00376,Item-00376,BR-A,35.59,2026-05-06
SKU-00448,Item-00448,BR-E,161.3,2026-05-14
SKU-00385,Item-00385,BR-B,25.19,2026-05-24
SKU-00423,Item-00423,BR-D,146.24,2026-05-20
SKU-00621,Item-00621,BR-B,195.37,2026-05-14
SKU-00755,Item-00755,BR-E,146.91,2026-05-29
SKU-00895,Item-00895,BR-D,63.8,2026-05-15
SKU-00722,Item-00722,BR-C,39.58,2026-05-18
SKU-00707,Item-00707,BR-B,204.47,2026-05-21
SKU-00843,Item-00843,BR-C,224.69,2026-05-30
SKU-00413,Item-00413,BR-A,129.36,2026-05-16
SKU-00435,Item-00435,BR-C,110.93,2026-05-17
SKU-00755,Item-00755,BR-A,150.85,2026-05-16
SKU-00851,Item-00851,BR-D,151.25,2026-05-23
SKU-00722,Item-00722,BR-D,26.43,2026-05-13
SKU-00832,Item-00832,BR-A,108.65,2026-05-22
SKU-00528,Item-00528,BR-D,139.91,2026-05-13
SKU-00437,Item-00437,BR-A,240.74,2026-05-06
SKU-00852,Item-00852,BR-B,64.15,2026-05-16
SKU-00615,Item-00615,BR-E,101.69,2026-05-20
SKU-00719,Item-00719,BR-B,71.89,2026-05-21
SKU-00552,Item-00552,BR-B,186.12,2026-05-24
SKU-00412,Item-00412,BR-B,184.91,2026-05-10
SKU-00386,Item-00386,BR-C,89.88,2026-05-17
SKU-00452,Item-00452,BR-C,140.7,2026-05-25
SKU-00651,Item-00651,BR-A,76.04,2026-05-18
SKU-00452,Item-00452,BR-C,104.48,2026-05-24
SKU-00692,Item-00692,BR-E,50.46,2026-05-02
SKU-00658,Item-00658,BR-A,120.7,2026-05-25
SKU-00377,Item-00377,BR-C,277.38,2026-05-20
SKU-00441,Item-00441,BR-E,117.53,2026-05-05
SKU-00830,Item-00830,BR-B,24.31,2026-05-29
SKU-00439,Item-00439,BR-D,42.8,2026-05-16
SKU-00377,Item-00377,BR-C,225.1,2026-05-10
SKU-00447,Item-00447,BR-B,161.0,2026-05-16
SKU-00348,Item-00348,BR-B,103.66,2026-05-06
SKU-00487,Item-00487,BR-B,169.68,2026-05-21
SKU-00769,Item-00769,BR-E,23.4,2026-05-05
SKU-00382,Item-00382,BR-A,63.17,2026-05-06
SKU-00595,Item-00595,BR-C,235.16,2026-05-20
SKU-00325,Item-00325,BR-A,97.12,2026-05-04
SKU-00793,Item-00793,BR-B,76.61,2026-05-18
SKU-00596,Item-00596,BR-A,153.93,2026-05-21
SKU-00889,Item-00889,BR-C,11.34,2026-05-06
SKU-00420,Item-00420,BR-A,30.86,2026-05-25
SKU-00802,Item-00802,BR-A,18.09,2026-05-14
SKU-00488,Item-00488,BR-C,342.0,2026-05-23
SKU-00393,Item-00393,BR-C,89.13,2026-05-18
SKU-00709,Item-00709,BR-C,15.47,2026-05-22
SKU-00647,Item-00647,BR-A,142.05,2026-05-19
SKU-00697,Item-00697,BR-A,13.63,2026-05-06
SKU-00831,Item-00831,BR-C,96.6,2026-05-25
SKU-00800,Item-00800,BR-C,243.14,2026-05-26
SKU-00369,Item-00369,BR-E,390.61,2026-05-03
SKU-00376,Item-00376,BR-B,37.44,2026-05-12
SKU-00596,Item-00596,BR-B,163.66,2026-05-04
SKU-00395,Item-00395,BR-B,78.44,2026-05-02
SKU-00748,Item-00748,BR-C,90.15,2026-05-29
SKU-00842,Item-00842,BR-B,194.29,2026-05-21
SKU-00881,Item-00881,BR-A,53.25,2026-05-20
SKU-00392,Item-00392,BR-A,170.25,2026-05-08
SKU-00787,Item-00787,BR-E,115.86,2026-05-17
SKU-00643,Item-00643,BR-A,38.11,2026-05-15
SKU-00354,Item-00354,BR-D,135.41,2026-05-20
SKU-00515,Item-00515,BR-A,122.9,2026-05-15
SKU-00736,Item-00736,BR-A,6.26,2026-05-19
SKU-00458,Item-00458,BR-D,51.56,2026-05-05
SKU-00872,Item-00872,BR-D,90.55,2026-05-09
SKU-00340,Item-00340,BR-E,242.98,2026-05-04
SKU-00754,Item-00754,BR-C,85.94,2026-05-03
SKU-00550,Item-00550,BR-E,125.0,2026-05-11
